index	score	sentence1	sentence2
228	0.4	ایک آدمی گٹار بجا رہا ہے ۔	ایک آدمی پاستا نکال رہا ہے ۔
229	0.4	ایک عورت ووڈکا پی رہی ہے ۔	ایک عورت ورزش کر رہی ہے ۔
230	4.8	ایک عورت گوشت کو ٹکڑوں میں کاٹ رہی ہے ۔	ایک عورت کچھ گوشت کاٹ رہی ہے ۔
231	0.6	ایک آدمی اسٹیک دھو رہا ہے ۔	ایک آدمی گٹار بجا رہا ہے ۔
232	0.8	ایک آدمی اشیا بیچ رہا ہے ۔	ایک آدمی گھر کی صفائی کر رہا ہے ۔
233	3.2	ایک آدمی دیوار کو چھلانگ لگا رہا ہے ۔	ایک آدمی ایک چھوٹی دیوار پر چھلانگ لگاتا ہے ۔
234	3.2	دوڑنے والے ٹریک کے ارد گرد دوڑتے ہیں ۔	دوڑنے والے ایک دوڑ میں مقابلہ کرتے ہیں ۔
235	0.6	ایک آدمی فٹ بال کی گیند کو لات مار رہا ہے ۔	ایک آدمی پیالہ ملا رہا ہے ۔
236	0.6	ایک عورت کچھ تلی ہوئی ہے ۔	ایک عورت گھوڑے پر سوار ہے ۔
237	0	ایک بلی چوسنے والے کو چاٹ رہی ہے ۔	ایک عورت کھیرے کو کاٹ رہی ہے ۔
238	1.4	ایک عورت آگ کے پاس ناچ رہی ہے ۔	ایک عورت نہارہی ہے ۔
239	2.2	آدمی کھلی ہوئی مچھلی کو کاٹ رہا ہے ۔	ایک آدمی آلو کاٹ رہا ہے ۔
240	3.6	ایک پین میں مکھن پگھل رہا ہے ۔	ایک آدمی پین میں مکھن پگھلا رہا ہے ۔
241	3.111	تین لڑکے رقص کر رہے ہیں ۔	بچے رقص کر رہے ہیں ۔
242	0.6	ایک عورت ایک مرد کے ساتھ کھیل رہی ہے ۔	ایک آدمی پیانو بجا رہا ہے ۔
243	0.4	آدمی سفید کار چلا رہا ہے ۔	ایک آدمی انٹرویو دے رہا ہے ۔
244	4.25	ایک آدمی اپنی گاڑی چلا رہا تھا ۔	ایک آدمی گاڑی چلا رہا ہے ۔
245	3	ایک گاڑی ایک جگہ سے پیچھے ہٹ رہی ہے ۔	ایک کار بند لین سے پیچھے ہٹ رہی ہے ۔
246	5	ایک آدمی پیزا پر کچھ چیز رکھتا ہے ۔	اس آدمی نے پیزا پر پنیر چھڑکایا ۔
247	5	لڑکا پیانو بجا رہا ہے ۔	ایک لڑکا پیانو بجاتا ہے ۔
248	3.75	اس آدمی نے اپنا گٹار بجایا ۔	ایک آدمی گٹار بجا رہا ہے ۔
249	0.2	ایک آدمی گھوڑے پر سوار ہے ۔	ایک آدمی کی بورڈ بجا رہا ہے ۔
250	0.4	ایک آدمی رسی پر چل رہا ہے ۔	ایک آدمی مو پیڈ پر سوار ہے ۔
251	1.286	ایک لڑکی بانسری بجا رہی ہے ۔	ایک بینڈ اسٹیج پر بج رہا ہے ۔
252	4.6	لوگ ٹرین سے اترتے ہیں ۔	لوگوں کا ایک گروہ ٹرین سے اترتا ہے ۔
253	0.6	ایک عورت مشین پر سلائی کر رہی ہے ۔	ایک عورت کچھ گوشت پر بریڈ لگا رہی ہے ۔
254	2	ایک کتا سوئمنگ پول میں دیکھ رہا ہے ۔	ایک کتا تالاب کے گرد گھوم رہا ہے ۔
255	5	ایک آدمی روٹی کے ایک ٹکڑے پر مکھن لگا رہا ہے ۔	ایک آدمی روٹی پر مکھن لگا رہا ہے ۔
256	1.8	ایک آدمی ٹماٹر کو ٹکڑے ٹکڑے کر رہا ہے ۔	ایک عورت کچھ سبزیاں کاٹ رہی ہے ۔
257	2.4	تین نوعمر لڑکیاں کمرے میں رقص کر رہی تھیں ۔	کچھ نوعمر لڑکیاں کیمرے کے لیے رقص کر رہی ہیں ۔
258	2.4	شیر چل رہا ہے ۔	ایک شیر قلم میں چل رہا ہے ۔
259	0.4	ایک آدمی کار کو گولی مار رہا ہے ۔	ایک آدمی آلو کاٹ رہا ہے ۔
260	4.2	ایک کالا گھوڑا ادھر ادھر دوڑ رہا ہے ۔	گھوڑا دوڑ رہا ہے ۔
261	0	ایک عورت کیکڑے کا شکار کر رہی ہے ۔	ایک آدمی بارش میں ناچ رہا ہے ۔
262	0	ایک آدمی گھوڑے پر سوار ہے ۔	ایک عورت فریزر دھو رہی ہے ۔
263	0.8	ایک آدمی ایک راستے پر چلتا ہے ۔	ایک آدمی ایک تنگ رسی کے پار چلتا ہے ۔
264	1.4	ایک آدمی آلو کاٹ رہا ہے ۔	ایک عورت جلیپینو کاٹ رہی ہے ۔
265	1.5	ایک کتا گیند پر بھونک رہا ہے ۔	ایک کتا ٹینس بال کے پیچھے تیر رہا ہے ۔
266	2.5	ایک بچہ ماہی گیری کے کھمبے پر جھولتی ہوئی مچھلی سے بھاگتا ہے ۔	ایک چھوٹا بچہ ماہی گیری کے کھمبے کے گرد دوڑ رہا ہے ۔
267	2.5	ایک آدمی بیابان سے گزرتے ہوئے راستے پر چل رہا ہے ۔	ایک آدمی سڑک پر چل رہا ہے ۔
268	3.5	ایک بوڑھا آدمی پوڈیم پر بول رہا ہے ۔	ایک آدمی پوڈیم پر تقریر کر رہا ہے ۔
269	3.4	ایک آدمی جو سست رفتار میں گھوڑے پر سوار ہے ۔	ایک آدمی گھوڑے پر سوار ہے ۔
270	3.8	ایک شخص کچھ برراٹا چیز کاٹ رہا ہے ۔	وہ شخص چیز کاٹ رہا ہے ۔
271	3.8	آدمی خودکار رائفل چلا رہا ہے ۔	ایک آدمی بندوق چلا رہا ہے ۔
272	1.5	ایک آدمی چاقو کے پچھلے حصے سے لہسن کو کچل رہا ہے ۔	ایک عورت چاقو سے گوشت کاٹ رہی ہے ۔
273	0.5	ایک عورت ایمری بورڈ سے اپنے ناخن رگڑ رہی ہے ۔	ایک عورت اپنے بچے کو بوتل کھلا رہی ہے ۔
274	0	ایک آدمی اسکیٹ بورڈ پر سوار ہے ۔	ایک عورت آلو کاٹ رہی ہے ۔
275	0	ایک عورت نہارہی ہے ۔	ایک آدمی سفید گھوڑے پر سوار ہے ۔
276	0.8	ایک آدمی ناچ رہا ہے ۔	ایک آدمی گھوڑے پر سوار ہے ۔
277	0.85	ایک آدمی کشتی چلا رہا ہے ۔	ایک آدمی بندوق سے گولی چلا رہا ہے ۔
278	3.4	ایک آدمی چھت سے جڑی رسی سے جھول رہا ہے ۔	ایک آدمی رسی پر جھول رہا ہے ۔
279	0.4	ایک عورت ساحل پر گھوڑے پر سوار ہے ۔	ایک آدمی دوسرے آدمی کو اپنی پیٹھ پر اٹھا رہا ہے ۔
280	1.75	ایک آدمی ایک ہاتھ میں ایک چھوٹے جانور کو تھامے ہوئے ہے ۔	ایک آدمی ایک چھوٹے بندر کو دکھاتا ہے ۔
281	3.25	ایک شخص مربع کاغذ کے ٹکڑے کو تہہ کر رہا ہے ۔	ایک آدمی کاغذ کو تہہ کر رہا ہے ۔
282	0.75	ایک شخص پین میں گوشت تلی رہا ہے ۔	ایک شخص اسکنک تھامے ہوئے ہے ۔
283	0	ایک چمپینزی ایک عورت کو تکلیف پہنچا رہا ہے ۔	ایک آدمی گاڑی چلا رہا ہے ۔
284	0	عورت کیکڑے چھیل رہی ہے ۔	آدمی نے لیمر پکڑا ہوا ہے ۔
285	4.25	دو زیبرا کھیل رہے ہیں ۔	زیبرا آپس میں میل جول کر رہے ہیں ۔
286	1.8	ایک عورت مکھن کاٹ رہی ہے ۔	ایک عورت ٹوفو کاٹ رہی ہے ۔
287	3.2	کچھ مرد گٹار بجا رہے ہیں ۔	تین آدمی گٹار بجا رہے ہیں اور ایک ساتھ گا رہے ہیں ۔
288	3.6	ہاتھیوں نے اپنے اوپر پانی چھڑکایا ۔	ہاتھی خود پر پانی چھڑکتے ہیں ۔
289	2.6	ایک دکان کے کاؤنٹر پر ایک کتا بیٹھا تھا ۔	کتا کاؤنٹر پر کھڑا ہے ۔
290	3.2	کوئی لکڑی کی پٹی میں پاور ڈرل سے سوراخ کرتا ہے ۔	ایک آدمی لکڑی کے ٹکڑے میں سوراخ کرتا ہے ۔
291	2.8	ایک عورت کچھ سبزیاں کاٹ رہی ہے ۔	عورت لہسن کاٹ رہی ہے ۔
292	4.6	ایک بیجر ایک سوراخ کھود رہا ہے ۔	ایک بیجر زمین کھود رہا ہے ۔
293	0	ایک عورت جھیل پر واٹر اسکیئنگ کر رہی ہے ۔	ایک آدمی بانسری بجا رہا ہے ۔
294	0.25	ایک لڑکی وائلن بجا رہی ہے ۔	ایک بچہ ہنس رہا ہے اور کھلکھلا رہا ہے ۔
295	3.923	ہیلی کاپٹر ہیلی پیڈ پر اتر رہا ہے ۔	ایک ہیلی کاپٹر اترتا ہے ۔
296	2.75	ایک عورت مرغی کاٹ رہی ہے ۔	ایک عورت گوشت کاٹ رہی ہے ۔
297	0	ایک عورت کھیرا کاٹ رہی ہے ۔	ایک آدمی گٹار بجا رہا ہے ۔
298	3	ایک عورت محبت کرنے والے ہجوم کے سامنے ہاتھی کی سواری کرتی ہے ۔	ایک عورت ہاتھی کی سواری کرتی ہے ۔
299	3.8	ایک کتا فرش کے ساتھ پیچھے کی طرف پھسل رہا ہے ۔	ایک کتا خود کو پیچھے کی طرف دھکیل رہا ہے ۔
300	4.6	ایک عورت لہسن کی لونگوں کو تقسیم کرتی ہے ۔	ایک عورت لہسن کے سر کو لونگ میں توڑ رہی ہے ۔
301	2.6	ایک کتا سوئمنگ پول میں دیکھ رہا ہے ۔	ایک کتا تالاب کے کنارے سے گزر رہا ہے ۔
302	3.6	ایک عورت ایک گلاس میں بیوٹی ٹریٹمنٹ ملاتی ہے ۔	ایک عورت گلاس میں چمچ کے ساتھ کریم ملا رہی ہے ۔
303	3.6	ایک آدمی تصویر کھینچ رہا ہے ۔	ایک شخص ڈرائنگ کر رہا ہے ۔
304	1	ایک عورت ٹماٹر اٹھا رہی ہے ۔	ایک عورت پیالے میں بیٹر ڈال رہی ہے ۔
305	2.75	ایک آدمی کمپیوٹر مانیٹر کو دیکھ رہا ہے ۔	ایک آدمی لیپ ٹاپ استعمال کر رہا ہے ۔
306	1.25	لڑکا ٹرائی سائیکل چلا رہا ہے ۔	ایک عورت واٹر سکوٹر چلا رہی ہے ۔
307	2.75	دو مرد ٹائر رولنگ ریس میں مقابلہ کرتے ہیں ۔	دو افراد نے ایک دوڑ میں ٹریکٹر کے ٹائر پلٹ دیے ۔
308	0	ایک شخص گوشت کاٹ رہا ہے ۔	ایک شخص مکینیکل بیل پر سوار ہے ۔
309	0	ایک آدمی وائلن بجا رہا ہے ۔	ایک عورت سلائی مشین استعمال کر رہی ہے ۔
310	2.4	بچہ دروازے سے رینگ رہا تھا ۔	ایک بچہ فرش پر رینگ رہا ہے ۔
311	2.2	ایک آدمی کی بورڈ بجا رہا ہے ۔	ایک شخص پیانو بجا رہا ہے ۔
312	0.2	ایک آدمی دو پیزا سونگھ رہا ہے ۔	ایک عورت ایک مرد کو کھانا کھلا رہی ہے ۔
313	2.8	ایک بندر کتے کی دم کھینچتا ہے ۔	چڑیا گھر میں ایک بندر کتے کو چھیڑ رہا ہے ۔
314	4	ایک کتا لکڑی کے فرش پر اپنی پیٹھ پر لیٹا ہوا ہے ۔	ایک کتا فرش پر لیٹا ہوا ہے ۔
315	0	ایک عورت پین میں کچھ تلی ہوئی ہے ۔	ایک آدمی اپنا گٹار بجا رہا ہے ۔
316	5	ایک آدمی پانی کے پیالے میں مصالحہ ڈالتا ہے ۔	آدمی نے ایک پیالے میں پانی میں مصالحہ ملایا ۔
317	0	ایک بوڑھی عورت تلی ہوئی پین میں تیل ڈال رہی ہے ۔	ایک بندھا ہوا آدمی پانی میں ڈال رہا ہے ۔
318	3.2	ایک عورت پیاز کاٹ رہی ہے ۔	ایک عورت پیاز کے آدھے حصے کو جزوی طور پر کاٹ رہی ہے ۔
319	3.5	عورت نے کینگرو اٹھایا ۔	ایک عورت کینگرو اٹھا رہی ہے ۔
320	1.75	ایک کتا ڈبے کو کاٹ رہا ہے ۔	ایک کتا کھانے کا ڈبہ کھولتا ہے ۔
321	1.25	ایک عورت مچھلی کی ہڈیاں نکال رہی ہے ۔	ایک آدمی مچھلی پکڑتا ہے ۔
322	0.833	ایک آدمی گھاس کاٹ رہا ہے ۔	ایک آدمی کنکریٹ توڑ رہا ہے ۔
323	0	ایک بلی ٹی وی دیکھ رہی ہے ۔	ایک آدمی پتا کاٹ رہا ہے ۔
324	3.75	لڑکا کتے کے گھر کے دروازے میں پھنس گیا ہے ۔	ایک بچہ کتے کے گھر میں پھنس گیا ہے ۔
325	2.75	لوگ قلابازی کھا کر سوئمنگ پول میں چھلانگ لگا رہے ہیں ۔	مرد تالاب میں گر رہے ہیں ۔
326	3.8	ایک عورت پانی کے اندر تیرتی ہے ۔	ایک عورت تیر رہی ہے ۔
327	0.2	ایک آدمی گٹار بجا رہا ہے ۔	ایک عورت ناچ رہی ہے ۔
328	3.4	ہوائی جہاز ہوا میں اڑ رہا ہے ۔	ساؤتھ افریقی ایئر ویز کا طیارہ نیلے آسمان میں اڑ رہا ہے ۔
329	1.4	ایک ریچھ دو کتوں سے بھاگ رہا ہے ۔	ریچھ بھیڑیوں سے لڑ رہا ہے ۔
330	3.8	ایک عورت تیرتے ہوئے بیڑے میں آرام کر رہی ہے ۔	ایک عورت اندرونی ٹیوب میں آرام کرتی ہے ۔
331	0.4	ایک آدمی آپریشن روم میں مر رہا ہے ۔	ایک آدمی اسٹیج پر ایک عورت کو بوسہ دے رہا ہے ۔
332	0	ایک آدمی ایک پتی تھامے ہوئے ہے ۔	ایک عورت ٹی وی دیکھ رہی ہے ۔
333	0	ایک شخص گھوڑے پر سوار ہے ۔	ایک عورت آلو کاٹ رہی ہے ۔
334	0	ایک عورت آکٹوپس کاٹ رہی ہے ۔	ایک آدمی گٹار بجا رہا ہے ۔
335	0.2	ایک آدمی پانی کے پیالے توڑ رہا ہے ۔	ایک عورت لہسن چھیل رہی ہے ۔
336	0	ایک آدمی گٹار بجا رہا ہے ۔	ایک عورت سبزی کاٹ رہی ہے ۔
337	0	ایک لڑکی کپ کیک کھا رہی ہے ۔	ایک آدمی کھیرے کو کاٹ رہا ہے ۔
338	3.8	چھوٹی لڑکی گھاس پر کتے اور گیند کے ساتھ کھیل رہی تھی ۔	ایک بچہ کتے اور گیند کے ساتھ کھیلتا ہے ۔
339	2.25	لوگ بیڑے پر سوار ہوتے ہیں اور پیڈل چلاتے ہیں ۔	چار لوگ ایک بیڑے پر تیر رہے ہیں ۔
340	2.4	خاتون نے آلو کاٹا ۔	ایک آدمی آلو کاٹ رہا ہے ۔
341	3.2	میزائل پھٹ گیا ۔	ایک راکٹ پھٹ گیا ۔
342	1.6	ایک کتا برف میں کھیل رہا ہے ۔	ایک کتا اپنے سامنے قالین پر ایک مکھی کو پنجے مار رہا ہے ۔
343	0.4	ایک عورت دوسری عورتوں کے ساتھ رقص کر رہی ہے ۔	ایک عورت مرغی کاٹ رہی ہے ۔
344	0	ایک لڑکا وین کو دھکا دے رہا ہے ۔	ایک شخص ٹماٹر کاٹ رہا ہے ۔
345	0.4	ایک لڑکا کچھ ڈانس کے اقدامات کر رہا ہے ۔	ایک لڑکا گھڑے سے کچھ ڈال رہا ہے ۔
346	0.6	ایک عورت سوڈا کھول کر پی رہی ہے ۔	ایک عورت ہاتھی پر سوار ہے ۔
347	1	ایک آدمی اسپیکر کے پرزے جمع کر رہا ہے ۔	ایک آدمی گٹار بجا رہا ہے ۔
348	4.6	کتا تالاب کے کنارے سے گزر رہا تھا ۔	ایک کتا تالاب کے ساتھ چل رہا ہے ۔
349	4.25	ایک پیالے میں مکھن ڈالا جا رہا ہے ۔	ایک آدمی مکسنگ باؤل میں مکھن کاٹ رہا ہے ۔
350	1.5	ریکون کھا رہے ہیں ۔	ایک آدمی کھا رہا ہے ۔
351	3.5	کوئی گھوڑے سے گر گیا ۔	ایک آدمی گھوڑے سے گرا دیا جاتا ہے ۔
352	0	ایک عورت سیب چھیلتی ہے ۔	ایک آدمی موٹر سائیکل پر پہیے چلا رہا ہے ۔
353	0	ایک آدمی ریاضی کی کچھ کلاسیں لے رہا ہے ۔	ایک آدمی اسٹیک دھو رہا ہے ۔
354	0	جانور پانی میں کھیل رہے ہیں ۔	دو آدمی پنگ پونگ کھیل رہے ہیں ۔
355	0.333	ایک آدمی گھوڑے پر سوار ہو کر رکاوٹوں پر چھلانگ لگا رہا ہے ۔	ایک آدمی فٹ بال کی گیند کو لات مار رہا ہے ۔
356	0.333	ایک شخص اپنے ہاتھ سے پنسل کی چال چلا رہا ہے ۔	ایک شخص گاجر کو آدھے حصے میں کاٹ رہا ہے ۔
357	3.333	اس شخص نے کیمرے کو آگ لگا دی ۔	ایک شخص کیمرے جلا رہا ہے ۔
358	4.333	آدمی ڈبے سے ٹیپ کاٹ رہا ہے ۔	ایک آدمی ایک ڈبہ کاٹ رہا ہے ۔
359	0.8	ایک آدمی دریا میں مچھلی پکڑ رہا ہے ۔	ایک آدمی فٹ پاتھ پر چلتے ہوئے گا رہا ہے ۔
360	0.2	ایک آدمی سائیکل چلا رہا ہے ۔	ایک عورت گلی میں رقص کر رہی ہے ۔
361	0	ایک آدمی پش اپس کر رہا ہے ۔	ایک عورت کچھ آکٹوپس کاٹ رہی ہے ۔
362	0	ایک آدمی گٹار بجا رہا ہے ۔	ایک عورت کچھ سور کا گوشت کاٹ رہی ہے ۔
363	2.8	چھوٹا لڑکا گا رہا ہے اور گٹار بجا رہا ہے ۔	ایک بچہ گٹار بجا رہا ہے ۔
364	0.8	ایک عورت اپنا چہرہ پاؤڈر کر رہی ہے ۔	عورت میز پر اپنی انگلیاں دبا رہی ہے ۔
365	0	ایک عورت آلو چھیل رہی ہے ۔	ایک شیر ادھر ادھر گھوم رہا ہے ۔
366	0.25	ایک عورت رائفل سے گولی چلا رہی ہے ۔	ایک آدمی اسٹنٹ انجام دے رہا ہے ۔
